carettochelys insculpta,54,R7VH,species,,"Papua New Guinea (Fly, Strickland, Morehead, Lorentz, Stekwa rivers, Lake Jamur),",Papua New Guinea,Papua New Guinea,
chelodina longicollis,55,5XQY4,species,,"Australia (New South Wales, Queensland, South Australia, Victoria)",Australia,Australia,
chelus fimbriata,56,87WF9,species,,USA (introduced to Florida),No Valid Country Found,No Valid Country Found,
chelydra serpentina,57,TWRZ,species,,"S Canada (from Nova Scotia, New Brunswick, S Quebec, Ontario, west to Manitoba, SE Alberta, Saskatchewan),",No Valid Country Found,No Valid Country Found,
chelydra serpentina,58,TWRZ,species,,"S Canada (from Nova Scotia, New Brunswick, S Quebec, Ontario, west to Manitoba, SE Alberta, Saskatchewan),",No Valid Country Found,No Valid Country Found,
chrysemys picta,59,5YKRV,species,,"S Canada (Nova Scotia, New Brunswick, Quebec, Ontario, Manitoba, Saskatchewan, Alberta ?, British Columbia),",No Valid Country Found,No Valid Country Found,
clemmys guttata,60,VYSQ,species,,"Canada (S Ontario, Quebec),",Canada,Canada,
cuora amboinensis,61,6BRNN,species,,"India (Nicobar Islands, Assam), Bhutan, Bangladesh, Myanmar (= Burma), Thailand, Cambodia, Vietnam, West Malaysia (incl. Pulau Pangkor, Tuba Island), Singapore, Philippines (Panay, Luzon, Mindanao, Cebu, Sibuyan etc.),",India,"India, Bhutan, Bangladesh, Myanmar, Thailand, Cambodia, Vietnam, Singapore, Philippines",
cuora bourreti,62,6C3PB,species,,"C Vietnam, Laos",Vietnam,"Vietnam, Laos",
cuora flavomarginata,63,6BRPF,species,,"S China (Fukien, Hunan, and possibly Sichuan provinces, Guangxi),",No Valid Country Found,No Valid Country Found,
cuora galbinifrons,64,6C3PF,species,,"Vietnam (Tonkin, Annam), China (Hainan Island, Guangxi)",Vietnam,"Vietnam, China",
cuora mouhotii,65,6BRPH,species,,"China (Hainan Island), Vietnam, Thailand, Myanmar (= Burma), E India (Assam, Nagaland etc.), Bhutan",China,"China, Vietnam, Thailand, Myanmar, Bhutan",
cuora trifasciata,66,6BRP4,species,,"S China (Kwangsi, Kwangtung, Hainan Island, Hong Kong)",Hong Kong,Hong Kong,
emydura macquarii,67,39LSX,species,,SE Australia (from SC Queensland southward to N Victoria and SE South Australia),Australia,Australia,
emydura subglobosa,68,39LT7,species,,"S Papua New Guinea,",No Valid Country Found,No Valid Country Found,
geoemyda japonica,69,3FPPM,species,,Japan (Ryukyu islands: Okinawa),Japan,Japan,
graptemys geographica,70,6L57F,species,,"Canada (S Quebec, S Ontario),",Canada,Canada,
graptemys pseudogeographica kohni,71,6KT7C,species,,"USA (primarily in large streams of the Mississippi River drainage from Minnesota, Wisconsin, Iowa, Illinois, Missouri, Kansas, NE Oklahoma, Nebraska, South Dakota, Oklahoma, NE Texas, Louisiana, Arkansas, NW Mississippi, Tennessee, W Kentucky, Indiana, Ohio, Alabama)",No Valid Country Found,No Valid Country Found,
heosemys annandalii,72,3KVX7,species,,"C Thailand, Cambodia, Vietnam, N Malaysia, Laos",Cambodia,"Cambodia, Vietnam, Laos",
kinosternon acutum,73,3R85R,species,,"Mexico (Caribean lowlands of C/S Veracruz, Oaxaca ?, Chiapas, Tabasco ?, Campeche, Quintana Roo), N Guatemala, Belize",Mexico,"Mexico, Belize",
kinosternon leucostomum,74,3R86F,species,,"Mexico ((Campeche, Quintana Roo, CS Veracruz, Oaxaca ?, Tabasco ?, Chiapas ?, Yucatan),",Mexico,Mexico,
leucocephalon yuwonoi,75,6PTMR,species,,Indonesia (Sulawesi),Indonesia,Indonesia,
macrochelys temminckii,76,3X3WY,species,,"USA (Indiana, Mississippi valley, Kansas, SE Iowa, Illinois, W Tennessee, W Kentucky, Missouri, Oklahoma, E Texas, Arkansas, Louisiana, Mississippi, Alabama)",No Valid Country Found,No Valid Country Found,
malaclemys terrapin,77,3XKD4,species,,"USA (Maryland, Rhode Island, along the Atlantic amd Gulf coasts in Massachusetts, Connecticut, New Jersey, Delaware, Virginia, North Carolina, South Carolina, Georgia, Florida including the Keys, Alabama, Mississippi, Louisiana, Texas), Bermuda Island",Georgia,Georgia,
mauremys annamensis,78,3YFW6,species,,C Vietnam,Vietnam,Vietnam,
mauremys japonica,79,3YFWC,species,,"S Japan (Honshu, Kyoshu, Shikoku)",No Valid Country Found,No Valid Country Found,
mauremys reevesii,80,3YFWL,species,,"Japan (Honshu, Kyushu) [?], South Korea, Taiwan, China (south of the Yangtze River west to Canton: Sichuan, Shaanxi, Hubei, Henan, Anhui, Zhejiang, Jiangxi, Hong Kong, Fujian), Timor-Leste.",Japan,"Japan, South Korea, Taiwan, China, Hong Kong",
pelodiscus sinensis,81,76CTF,species,,"C/S China (Liaoning, Shaanxi, Anhui, Zhejiang, Guangdong), N Vietnam, Hainan, Taiwan, S Far East (Russia), Japan (Bonin Islands), Indonesia (Timor), Japan, Philippines (Panay, Cebu)",Taiwan,"Taiwan, Russia, Japan, Indonesia, Japan, Philippines",
pelomedusa subrufa,82,76CSF,species,,"S Angola (Petzold et al. 2014), Botswana, SE Democratic Republic of the Congo (Zaire), Malawi (Vargas-Ramírez et al. 2010), Namibia (Wong et al. 2010; this study), South Africa (Limpopo; Petzold et al. 2014),Tanzania (Kilimanjaro, Petzold et al. 2014). Introduced to Madagascar (Vargas-Ramírez et al. 2010; Wong et al. 2010), Republic of South Sudan (RSS), Sudan (Jumhūriyyat)",Namibia,"Namibia, South Africa, Madagascar, Sudan",
phrynops hilarii,83,4GWNT,species,,"Brazil (Rio Grande do Sul), Uruguay, Argentina (Corrientes), Paraguay [ZIEGLER et al. 2002]",Brazil,"Brazil, Uruguay",
platysternon megacephalum,84,4JZ39,species,,"S China (Guangdong, Jiangxi, Fukien, Kwangtung, Kwangsi, Hainan Island), N Vietnam, Laos , Cambodia, N Thailand, S Burma",China,"China, Laos, Cambodia",
podocnemis unifilis,85,4KQGF,species,,"Caribbean drainages of Guyana, French Guiana, Venezuela, and Colombia, Trinidad ?, Tobago ?, upper tributaries of the Amazon River in Colombia, Ecuador, Peru, N  Bolivia, S Venezuela, and Brazil (Amazonas, Pará)",Guyana,"Guyana, Venezuela, Colombia, Colombia, Ecuador, Peru, Bolivia, Brazil",
pseudemys concinna,86,4NM9N,species,,"USA (Indiana, West Virginia, Ohio, Virginia, North Carolina, South Carolina, Georgia, Alabama, Mississippi, Louisiana, Arkansas, E Oklahoma, Texas, SE New Mexico, SE Kansas, S Missouri, S Illinois, W Kentucky, W Tennessee, Florida)",Georgia,Georgia,
pseudemys peninsularis,87,78CBH,species,,USA (Florida peninsula),No Valid Country Found,No Valid Country Found,
pseudemys peninsularis,88,78CBH,species,,USA (Florida peninsula),No Valid Country Found,No Valid Country Found,
