Kind,Kind2,Kind3,Kind4,Common Name,Common name2,Common name3,Common Name Common name2 Common name3,Bi or Trinomial Name,Sp Short Name,Kingdom,Phylum,Class,Order,Infraorder,Clade,Sub Order,Superfamily,Family,Sub family,Tribe,Genus,Sub Genus,Species,Sub species 1,Sub Species 2,Prior binomial name,Kind > Kind2 Kind3,"Genus > Species > 
 > Sub species 1","Common Name
 > Bi or Trinomial Name",Code1,Code2,Code3,,,,,,,,Original Order,Cleaned Name,Taxon ID,Match Level,Error,dwc:taxonID,Unmatched Names
Amphibian,Frog,,,African Bull Frog,Pixie Frog,,African Bull Frog Pixie Frog ,Pyxicephalus adspersus,P. adspersus,Animalia,Chordata,Amphibia,Anura,,,,,Pyxicephalidae,,,Pyxicephalus,,adspersus,,,,Amphibian > Frog,Pyxicephalus > adspersus,"African Bull Frog
 > Pyxicephalus adspersus",AMFRO,AFBLL,,,,,,,,,20,pyxicephalus adspersus,4QYCF,species,,4QYCF,
Amphibian,Frog,,,Vietnamese Mossy Frog,Mossy frog,,Vietnamese Mossy Frog Mossy frog ,Theloderma corticale,T. corticale,Animalia,Chordata,Amphibia,Anura,,,,,Rhacophoridae,,,Theloderma,,corticale,,,,Amphibian > Frog,Theloderma > corticale,"Vietnamese Mossy Frog
 > Theloderma corticale",AMFRO,VIMOS,,,,,,,,,21,theloderma corticale,568HJ,species,,568HJ,
Amphibian,Frog,,,Red-Eyed Tree Frog,,,Red-Eyed Tree Frog  ,Agalychnis callidryas,,Animalia,Chordata,Amphibia,Anura,,,,,,,,Agalychnis,,callidryas,,,,Amphibian > Frog,Agalychnis > callidryas,"Red-Eyed Tree Frog
 > Agalychnis callidryas",AMFRO,RDTRE,,,,,,,,,22,agalychnis callidryas,65JNR,species,,65JNR,
Amphibian,Frog,,,Banded Bullfrog / Chubby Frog,,,Banded Bullfrog / Chubby Frog  ,Kaloula pulchra,,Animalia,Chordata,Amphibia,,,,,,,,,,,,,,,Amphibian > Frog,>,"Banded Bullfrog / Chubby Frog
 > Kaloula pulchra",AMFRO,CHUBY,,,,,,,,,23,kaloula pulchra,3QZL4,species,,3QZL4,
Amphibian,Newt,,,Black Knobby Newt,,,Black Knobby Newt  ,Tylototriton asperrimus,,Animalia,Chordata,Amphibia,Urodela,,,,,Salamandridae,,,,,,,,,Amphibian > Newt,>,"Black Knobby Newt
 > Tylototriton asperrimus",AMNEW,BKNWT,,,,,,,,,24,tylototriton asperrimus,7DBLB,species,,7DBLB,
Amphibian,Newt,,,Chiang Mai Crocodile Newt,,,Chiang Mai Crocodile Newt  ,Tylototriton uyenoi,T. uyenoi,Animalia,Chordata,Amphibia,Urodela,,,,,Salamandridae,,,Tylototriton,,uyenoi,,,,Amphibian > Newt,Tylototriton > uyenoi,"Chiang Mai Crocodile Newt
 > Tylototriton uyenoi",AMNEW,CRNWT,,,,,,,,,25,tylototriton uyenoi,7DBJY,species,,7DBJY,
Amphibian,Newt,,,Japanese Sword-Tail Newt - Brown,,,Japanese Sword-Tail Newt - Brown  ,Cynops ensicauda,,Animalia,Chordata,Amphibia,Urodela,,,,,Salamandridae,,,Cynops,,̌ensicauda,,,,Amphibian > Newt,Cynops > ̌ensicauda,"Japanese Sword-Tail Newt - Brown
 > Cynops ensicauda",AMNEW,STNWT,,,,,,,,,26,cynops ensicauda,6C7WR,species,,6C7WR,
Amphibian,Newt,,,Japanese Sword-Tail Newt - Gold Dust,,,Japanese Sword-Tail Newt - Gold Dust  ,Cynops ensicauda popei,,Animalia,Chordata,Amphibia,Urodela,,,,,Salamandridae,,,Cynops,,̌ensicauda,popei,,,Amphibian > Newt,"Cynops > ̌ensicauda > 
 > popei","Japanese Sword-Tail Newt - Gold Dust
 > Cynops ensicauda popei",AMNEW,GDNWT,,,,,,,,,27,cynops ensicauda popei,B758H,subspecies,,B758H,
Amphibian,Salamander,,,Giant Salamander*,,,Giant Salamander*  ,Andrias sp.,,Animalia,Chordata,Amphibia,,,,,,,,,,,,,,,Amphibian > Salamander,>,"Giant Salamander*
 > Andrias sp.",AMSAL,GSALA,,,,,,,,,28,andrias sp,VTF,Genus Matched. Species not found,andrias sp,VTF,
Amphibian,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,name not found,,,
